Dep,Flight,Carrier,Destination,Departure,Status
Arr,Flight,Carrier,Origin,Arrival,Status
Dep,MS 9553$^,EgyptAir,(JNB) Johannesburg,4:55 PM,Scheduled
Dep,BA 6422,British Airways,(JNB) Johannesburg,5:00 PM,Scheduled
Dep,IB 7793$^,Iberia,(JNB) Johannesburg,5:00 PM,Scheduled
Dep,QR 6343$^,Qatar Airways,(JNB) Johannesburg,5:00 PM,Scheduled
Dep,FA* 297,Safair,(JNB) Johannesburg,5:00 PM,Scheduled
Dep,TK 45,Turkish Airlines,(ISL) Istanbul,5:05 PM,Scheduled
Dep,JE 162,Mango,(JNB) Johannesburg,5:05 PM,Scheduled
Dep,SA 2006$^,South African Airways,(JNB) Johannesburg,5:05 PM,Scheduled
Dep,MN 116,Comair,(JNB) Johannesburg,5:10 PM,Scheduled
Dep,KQ 4647$^,Kenya Airways,(JNB) Johannesburg,5:10 PM,Scheduled
Dep,BA 6313,British Airways,(DUR) Durban,5:30 PM,Scheduled
Dep,QR 6350$^,Qatar Airways,(DUR) Durban,5:30 PM,Scheduled
Dep,FA* 102,Safair,(JNB) Johannesburg,5:35 PM,Scheduled
Dep,JE 716,Mango,(HLA) Lanseria,5:55 PM,Scheduled
Dep,SA 2146$^,South African Airways,(HLA) Lanseria,5:55 PM,Scheduled
Arr,Flight,Carrier,Origin,Arrival,Status
Arr,WB 110,RwandAir,(HRE) Harare,3:05 PM,Scheduled
Arr,SA 337,South African Airways,(JNB) Johannesburg,3:10 PM,En Route
Arr,AC 6858$^,Air Canada,(JNB) Johannesburg,3:10 PM,En Route
Arr,LA 8961$^,LATAM Airlines,(JNB) Johannesburg,3:10 PM,En Route
Arr,LH 9534$^,Lufthansa,(JNB) Johannesburg,3:10 PM,En Route
Arr,LX 4142$^,SWISS,(JNB) Johannesburg,3:10 PM,En Route
Arr,MS 9552$^,EgyptAir,(JNB) Johannesburg,3:10 PM,En Route
Arr,SK 9372$^,SAS,(JNB) Johannesburg,3:10 PM,En Route
Arr,SA 1722,South African Airways,(WVB) Walvis Bay,3:35 PM,En Route
Arr,FA* 313,Safair,(HLA) Lanseria,3:35 PM,Scheduled
Arr,FA* 147,Safair,(ELS) East London,3:40 PM,Scheduled
Arr,SA 8664,South African Airways,(MQP) Nelspruit,3:45 PM,En Route
Arr,MN 471,Comair,(HLA) Lanseria,3:50 PM,En Route
Arr,SA 343,South African Airways,(JNB) Johannesburg,3:55 PM,En Route
Arr,LA 8962$^,LATAM Airlines,(JNB) Johannesburg,3:55 PM,En Route
Arr,LX 4131$^,SWISS,(JNB) Johannesburg,3:55 PM,En Route
Arr,SA 8127,South African Airways,(WDH) Windhoek,4:05 PM,En Route
Arr,BA 6419,British Airways,(JNB) Johannesburg,4:10 PM,Scheduled
Arr,IB 7685$^,Iberia,(JNB) Johannesburg,4:10 PM,Scheduled
Arr,QR 6332$^,Qatar Airways,(JNB) Johannesburg,4:10 PM,Scheduled
Arr,FA* 109,Safair,(JNB) Johannesburg,4:10 PM,Scheduled
Arr,FA* 163,Safair,(DUR) Durban,4:15 PM,Scheduled
Arr,SA 8605,South African Airways,(MUB) Maun,4:20 PM,Scheduled
Arr,SA 8638,South African Airways,(GRJ) George,4:20 PM,Scheduled
Arr,SA 8658,South African Airways,(HDS) Hoedspruit,4:25 PM,En Route
Arr,FA* 296,Safair,(JNB) Johannesburg,4:25 PM,Scheduled
Arr,JE 413,Mango,(BFN) Bloemfontein,4:25 PM,Scheduled
Arr,SA 2069$^,South African Airways,(BFN) Bloemfontein,4:25 PM,Scheduled
Arr,MN 127,Comair,(JNB) Johannesburg,4:35 PM,Scheduled
Arr,AF 6646$^,Air France,(JNB) Johannesburg,4:35 PM,Scheduled
Arr,KQ 4636$^,Kenya Airways,(JNB) Johannesburg,4:35 PM,Scheduled
Arr,EK 770,Emirates,(DXB) Dubai,4:45 PM,En Route
Arr,SA 7157$^,South African Airways,(DXB) Dubai,4:45 PM,En Route
Arr,BA 6312,British Airways,(DUR) Durban,4:50 PM,Scheduled
Arr,BA 6425,British Airways,(JNB) Johannesburg,5:10 PM,Scheduled
Arr,IB 7790$^,Iberia,(JNB) Johannesburg,5:10 PM,Scheduled
Arr,QR 6334$^,Qatar Airways,(JNB) Johannesburg,5:10 PM,Scheduled
Arr,JE 147,Mango,(JNB) Johannesburg,5:25 PM,Scheduled
Arr,JE 709,Mango,(HLA) Lanseria,5:25 PM,Scheduled
Arr,SA 2147$^,South African Airways,(HLA) Lanseria,5:25 PM,Scheduled
Dep,Flight,Carrier,Destination,Departure,Status
Dep,EK 771,Emirates,(DXB) Dubai,6:20 PM,Scheduled
Dep,SA 7156$^,South African Airways,(DXB) Dubai,6:20 PM,Scheduled
Dep,SA 366,South African Airways,(JNB) Johannesburg,6:50 PM,Scheduled
Dep,JE 168,Mango,(JNB) Johannesburg,7:00 PM,Scheduled
Dep,BA 6438,British Airways,(JNB) Johannesburg,7:00 PM,Scheduled
Dep,QR 6363$^,Qatar Airways,(JNB) Johannesburg,7:00 PM,Scheduled
Dep,MN 488,Comair,(HLA) Lanseria,7:00 PM,Scheduled
Dep,BA 58,British Airways,(LHR) London,7:30 PM,Scheduled
Dep,AA 6448$^,American Airlines,(LHR) London,7:30 PM,Scheduled
Dep,AY 5948$^,Finnair,(LHR) London,7:30 PM,Scheduled
Dep,IB 7320$^,Iberia,(LHR) London,7:30 PM,Scheduled
Dep,FA* 215,Safair,(JNB) Johannesburg,7:50 PM,Scheduled
Dep,SA 372,South African Airways,(JNB) Johannesburg,7:55 PM,Scheduled
Dep,JE 364,Mango,(DUR) Durban,7:55 PM,Scheduled
Dep,SA 2110$^,South African Airways,(DUR) Durban,7:55 PM,Scheduled
Dep,JE 174,Mango,(JNB) Johannesburg,7:55 PM,Scheduled
Dep,SA 2030$^,South African Airways,(JNB) Johannesburg,7:55 PM,Scheduled
Dep,FA* 461,Safair,(DUR) Durban,8:05 PM,Scheduled
Dep,MN 132,Comair,(JNB) Johannesburg,8:50 PM,Scheduled
Dep,KQ 4673$^,Kenya Airways,(JNB) Johannesburg,8:50 PM,Scheduled
Arr,Flight,Carrier,Origin,Arrival,Status
